,MAE,RMSE,MAPE%,QLIKE,DA%,N
"GARCH(1,1)",0.06868353239233956,0.0957859705702645,18.975164539191542,2.7515626934974806,59.82142857142857,113.0
LSTM,0.06073222306730401,0.07902984807924714,12.981676595092814,3.0128277275952047,50.0,83.0
